Execution Order | Job | Operation | Time (s)
           452 |  22 |        18 | 0.00000000 seconds
           453 |   8 |        15 | 0.00000000 seconds
           454 |  14 |        18 | 0.00000000 seconds
           455 |  24 |        16 | 0.00000000 seconds
           456 |  14 |        19 | 0.00000000 seconds
           457 |   6 |        19 | 0.00000000 seconds
           458 |  10 |        20 | 0.00000000 seconds
           459 |   5 |        17 | 0.00000000 seconds
           460 |   7 |        19 | 0.00000000 seconds
           461 |  16 |        15 | 0.00000000 seconds
           462 |  23 |        17 | 0.00000000 seconds
           463 |  17 |        17 | 0.00000000 seconds
           464 |   3 |        14 | 0.00000000 seconds
           465 |   6 |        20 | 0.00000000 seconds
           466 |  23 |        18 | 0.00000000 seconds
           467 |   1 |        16 | 0.00000000 seconds
           468 |   9 |        21 | 0.00000000 seconds
           469 |  10 |        21 | 0.00000000 seconds
           470 |  15 |        18 | 0.00000000 seconds
           471 |  19 |        24 | 0.00000000 seconds
           472 |  11 |        18 | 0.00000000 seconds
           473 |   3 |        15 | 0.00000000 seconds
           474 |  21 |        13 | 0.00000000 seconds
           475 |  22 |        19 | 0.00000000 seconds
           476 |   1 |        17 | 0.00000000 seconds
           477 |   9 |        22 | 0.00000000 seconds
           478 |  17 |        18 | 0.00000000 seconds
           479 |  20 |        18 | 0.00000000 seconds
           480 |  24 |        17 | 0.00000000 seconds
           481 |   1 |        18 | 0.00000000 seconds
           482 |   2 |        19 | 0.00000000 seconds
           483 |   3 |        16 | 0.00000000 seconds
           484 |   5 |        18 | 0.00000000 seconds
           485 |  10 |        22 | 0.00000000 seconds
           486 |  12 |        18 | 0.00000000 seconds
           487 |   8 |        16 | 0.00000000 seconds
           488 |  14 |        20 | 0.00000000 seconds
           489 |  16 |        16 | 0.00000000 seconds
           490 |  21 |        14 | 0.00000000 seconds
           491 |   4 |        22 | 0.00000000 seconds
           492 |   6 |        21 | 0.00000000 seconds
           493 |   8 |        17 | 0.00000000 seconds
           494 |  15 |        19 | 0.00000000 seconds
           495 |  17 |        19 | 0.00000000 seconds
           496 |  24 |        18 | 0.00000000 seconds
           497 |   0 |        20 | 0.00000000 seconds
           498 |   9 |        23 | 0.00000000 seconds
           499 |  16 |        17 | 0.00000000 seconds
           500 |  21 |        15 | 0.00000000 seconds
           501 |  23 |        19 | 0.00000000 seconds
           502 |  11 |        19 | 0.00000000 seconds
           503 |  14 |        21 | 0.00000000 seconds
           504 |  20 |        19 | 0.00000000 seconds
           505 |   1 |        19 | 0.00000000 seconds
           506 |   2 |        20 | 0.00000000 seconds
           507 |   3 |        17 | 0.00000000 seconds
           508 |   9 |        24 | 0.00000000 seconds
           509 |  15 |        20 | 0.00000000 seconds
           510 |   0 |        21 | 0.00000000 seconds
           511 |  13 |        21 | 0.00000000 seconds
           512 |  16 |        18 | 0.00000000 seconds
           513 |  13 |        22 | 0.00000000 seconds
           514 |   6 |        22 | 0.00000000 seconds
           515 |   7 |        20 | 0.00000000 seconds
           516 |  11 |        20 | 0.00000000 seconds
           517 |   1 |        20 | 0.00000000 seconds
           518 |   6 |        23 | 0.00000000 seconds
           519 |   8 |        18 | 0.00000000 seconds
           520 |  18 |        18 | 0.00000000 seconds
           521 |   3 |        18 | 0.00000000 seconds
           522 |   7 |        21 | 0.00000000 seconds
           523 |   8 |        19 | 0.00000000 seconds
           524 |  12 |        19 | 0.00000000 seconds
           525 |  15 |        21 | 0.00000000 seconds
           526 |   1 |        21 | 0.00000000 seconds
           527 |  22 |        20 | 0.00000000 seconds
           528 |   5 |        19 | 0.00000000 seconds
           529 |   7 |        22 | 0.00000000 seconds
           530 |  16 |        19 | 0.00000000 seconds
           531 |  10 |        23 | 0.00000000 seconds
           532 |  23 |        20 | 0.00000000 seconds
           533 |   1 |        22 | 0.00000000 seconds
           534 |   8 |        20 | 0.00000000 seconds
           535 |  14 |        22 | 0.00000000 seconds
           536 |  17 |        20 | 0.00000000 seconds
           537 |  21 |        16 | 0.00000000 seconds
           538 |   2 |        21 | 0.00000000 seconds
           539 |   4 |        23 | 0.00000000 seconds
           540 |   7 |        23 | 0.00000000 seconds
           541 |   8 |        21 | 0.00000000 seconds
           542 |  13 |        23 | 0.00000000 seconds
           543 |   7 |        24 | 0.00000000 seconds
           544 |  12 |        20 | 0.00000000 seconds
           545 |  16 |        20 | 0.00000000 seconds
           546 |  22 |        21 | 0.00000000 seconds
           547 |  23 |        21 | 0.00000000 seconds
           548 |  24 |        19 | 0.00000000 seconds
           549 |   0 |        22 | 0.00000000 seconds
           550 |  12 |        21 | 0.00000000 seconds
           551 |  11 |        21 | 0.00000000 seconds
           552 |  17 |        21 | 0.00000000 seconds
           553 |   6 |        24 | 0.00000000 seconds
           554 |  21 |        17 | 0.00000000 seconds
           555 |  24 |        20 | 0.00000000 seconds
           556 |  13 |        24 | 0.00000000 seconds
           557 |  15 |        22 | 0.00000000 seconds
           558 |  20 |        20 | 0.00000000 seconds
           559 |  23 |        22 | 0.00000000 seconds
           560 |   4 |        24 | 0.00000000 seconds
           561 |  17 |        22 | 0.00000000 seconds
           562 |   0 |        23 | 0.00000000 seconds
           563 |   5 |        20 | 0.00000000 seconds
           564 |   5 |        21 | 0.00000000 seconds
           565 |  10 |        24 | 0.00000000 seconds
           566 |  22 |        22 | 0.00000000 seconds
           567 |   1 |        23 | 0.00000000 seconds
           568 |  20 |        21 | 0.00000000 seconds
           569 |   2 |        22 | 0.00000000 seconds
           570 |  11 |        22 | 0.00000000 seconds
           571 |  18 |        19 | 0.00000000 seconds
           572 |  23 |        23 | 0.00000000 seconds
           573 |  24 |        21 | 0.00000000 seconds
           574 |   5 |        22 | 0.00000000 seconds
           575 |  11 |        23 | 0.00000000 seconds
           576 |  14 |        23 | 0.00000000 seconds
           577 |  18 |        20 | 0.00000000 seconds
           578 |   1 |        24 | 0.00000000 seconds
           579 |  15 |        23 | 0.00000000 seconds
           580 |  12 |        22 | 0.00000000 seconds
           581 |   0 |        24 | 0.00000000 seconds
           582 |  17 |        23 | 0.00000000 seconds
           583 |  20 |        22 | 0.00000000 seconds
           584 |  21 |        18 | 0.00000000 seconds
           585 |   3 |        19 | 0.00000000 seconds
           586 |  21 |        19 | 0.00000000 seconds
           587 |  23 |        24 | 0.00000000 seconds
           588 |   5 |        23 | 0.00000000 seconds
           589 |  22 |        23 | 0.00000000 seconds
           590 |   5 |        24 | 0.00000000 seconds
           591 |  11 |        24 | 0.00000000 seconds
           592 |  12 |        23 | 0.00000000 seconds
           593 |  24 |        22 | 0.00000000 seconds
           594 |  12 |        24 | 0.00000000 seconds
           595 |  14 |        24 | 0.00000000 seconds
           596 |  17 |        24 | 0.00000000 seconds
           597 |  22 |        24 | 0.00000000 seconds
           598 |  24 |        23 | 0.00000000 seconds
           599 |   3 |        20 | 0.00000000 seconds
           600 |  15 |        24 | 0.00000000 seconds
           601 |  18 |        21 | 0.00000000 seconds
           602 |   2 |        23 | 0.00000000 seconds
           603 |  20 |        23 | 0.00000000 seconds
           604 |   8 |        22 | 0.00000000 seconds
